Участок,Адрес
1,ул. Волгоградская д. 28
1,ул. Луцкая д. 36
1,ул. Луцкая д. 50
1,ул. Луцкая д. 52
2,ул. Октябрьской Революции д. 19
2,ул. Октябрьской Революции д. 21
2,ул. Октябрьской Революции д. 23а
2,ул. Октябрьской Революции д. 23
2,ул. Октябрьской Революции д. 25
2,ул. Октябрьской Революции д. 31
2,ул. Октябрьской Революции д. 33
2,ул. Октябрьской Революции д. 35
4,ул. Луцкая д. 4
4,ул. Луцкая д. 14
4,ул. Луцкая д. 16
4,ул. Луцкая д. 22
4,ул. Луцкая д. 26
5,ул. 28 Июля д. 29
5,ул. 28 Июля д. 31
5,ул. 28 Июля д. 35
5,ул. 28 Июля д. 37
5,ул. Луцкая д. 6/1
5,ул. Луцкая д. 8
5,ул. Луцкая д. 24 
6,ул. 28 Июля д. 33А
6,ул. 28 Июля д. 33Б
6,ул. 28 Июля д. 45
6,ул. 28 Июля д. 45/1
6,ул. 28 Июля д. 45/2
6,ул. Октябрьской Революции д. 1
6,ул. Октябрьской Революции д. 3
6,ул. Октябрьской Революции д. 5
7,ул. Волгоградская д. 30
7,ул. Волгоградская д. 34
7,ул. Волгоградская д.  36
7,ул. Волгоградская д. 40
7,ул. Волгоградская д. 40/1
7,ул. Волгоградская д. 44
7,ул. Октябрьской Революции 37
9,ул. Колесника д. 2
9,ул. Колесника д. 4
9,ул. Колесника д. 8
9,ул. Колесника д. 10
9,ул. Краснознаменная д. 34
9,ул. Краснознаменная д. 36
9,ул. Краснознаменная д. 38
9,ул. Морозова д. 3
9,ул. Морозова д. 9
9,ул. Морозова д. 11
9,ул. Морозова д. 15
9,ул. Морозова д. 21
9,ул. Морозова д. 23
9,ул. Морозова д. 25
13,ул. Сальникова д. 2
13,ул. Сальникова д. 4
13,ул. Сальникова д. 6
13,ул. Сальникова д. 8
13,ул. Сальникова д. 10
13,ул. Сальникова д. 12
13,ул. Сальникова д. 16
13,ул. Сальникова д. 18
13,ул. Шоссе Варшавское д. 15
13,ул. Шоссе Варшавское д. 27
14,ул. Екельчика д. 1
14,ул. Екельчика д. 5
14,ул. Екельчика д. 7
14,ул. Екельчика д. 11
14,ул. Береговая д. 2
14,ул. Береговая д. 3
14,ул. Береговая д. 4
14,ул. Береговая д. 6
14,ул. Береговая д. 10
14,ул. Береговая д. 11
14,ул. Береговая д. 12
14,ул. Береговая д. 13
14,ул. Береговая д. 14
14,ул. Береговая д. 19
14,ул. Волынская
14,ул. Дальняя д. 1
14,ул. Дальняя д. 5
14,ул. Дальняя д. 7
14,ул. Дальняя д. 11
14,ул. Дальняя д. 15
14,ул. Дальняя д. 19
14,ул. Дальняя д. 21
14,ул. Дальняя д. 23
14,ул. Житомирская
14,ул. Ковельская д. 4
14,ул. Ковельская д. 4/1
14,ул. Ковельская д. 5А
14,ул. Ковельская д. 5/1
14,ул. Ковельская д. 5/1
14,ул. Ковельская д. 6
14,ул. Ковельская д. 7
14,ул. Ковельская д. 7
14,ул. Ковельская д. 7В
14,ул. Ковельская д. 7Г
14,ул. Ковельская д. 7/1
14,ул. Ковельская д. 7В/1
14,ул. Ковельская д. 7Г/1
14,ул. Ковельская д. 7/2
14,ул. Ковельская д. 7Г/2
14,ул. Ковельская д. 7А/3
14,ул. Ковельская д. 7/3
14,ул. Ковельская д. 7/4
14,ул. Ковельская д. 7А/4
14,ул. Ковельская д. 7А/5
14,ул. Ковельская д. 7А/6
14,ул. Ковельская д. 7А/8
14,ул. Ковельская д. 7А/10
14,ул. Ковельская д. 7А/12
14,ул. Ковельская д. 8
14,ул. Ковельская д. 9
14,ул. Ковельская д. 9В
14,ул. Ковельская д. 9В/1
14,ул. Ковельская д. 9/1
14,ул. Ковельская д. 9/2
14,ул. Ковельская д. 11А
14,ул. Ковельская д. 12
14,ул. Ковельская д. 14
14,ул. Ковельская д. 14/1
14,ул. Ковельская д. 16
14,ул. Ковельская д. 18
14,ул. Ковельская д. 20
14,ул. Ковельская д. 21
14,ул. Ковельская д. 22
14,ул. Ковельская д. 23
14,ул. Ковельская д. 24
14,ул. Ковельская д. 25
14,ул. Ковельская д. 25А
14,ул. Ковельская д. 26
14,ул. Ковельская д. 29
14,ул. Ковельская д. 31
14,ул. Ковельская д. 32
14,ул. Ковельская д. 33
14,ул. Ковельская д. 33/1
14,ул. Ковельская д. 33/2
14,ул. Ковельская д. 34
14,ул. Ковельская д. 34/1
14,ул. Ковельская д. 35
14,ул. Ковельская д. 35/1
14,ул. Ковельская д. 35/1
14,ул. Ковельская д. 36
14,ул. Ковельская д. 37
14,ул. Ковельская д. 37/1
14,ул. Ковельская д. 41
14,ул. Ковельская д. 42
14,ул. Ковельская д. 43
14,ул. Ковельская д. 44
14,ул. Ковельская д. 45
14,ул. Ковельская д. 46
14,ул. Ковельская д. 47
14,ул. Ковельская д. 48
14,ул. Ковельская д. 49
14,ул. Ковельская д. 50
14,ул. Ковельская д. 51
14,ул. Ковельская д. 52
14,ул. Ковельская д. 52/1
14,ул. Ковельская д. 53
14,ул. Ковельская д. 55
14,ул. Ковельская д. 56
14,ул. Ковельская д. 57
14,ул. Ковельская д. 58
14,ул. Ковельская д. 59
14,ул. Ковельская д. 60
14,ул. Ковельская д. 61
14,ул. Ковельская д. 62
14,ул. Ковельская д. 63
14,ул. Ковельская д. 64
14,ул. Ковельская д. 65
14,ул. Ковельская д. 66
14,ул. Ковельская д. 67
14,ул. Ковельская д. 68
14,ул. Ковельская д. 69
14,ул. Ковельская д. 70
14,ул. Ковельская д. 71
14,ул. Ковельская д. 72
14,ул. Ковельская д. 73
14,ул. Ковельская д. 75
14,ул. Ковельская д. 77
14,ул. Ковельская д. 77/1
14,ул. Ковельская д. 79
14,ул. Ковельская д. 79/1
14,ул. Ковельская д. 81
14,ул. Ковельская д. 83
14,ул. Ковельская д. 85
14,ул. Ковельская д. 85А
14,ул. Ковельская д. 87
14,ул. Ковельская д. 87/1
14,ул. Ковельская д. 89
14,ул. Ковельская д. 90/424
14,ул. Ковельская д. 91
14,ул. Ковельская д. 93
14,ул. Ковельская д. 105
14,ул. Ковельская д. 105/1
14,ул. Ковельская д. 105/2
14,ул. Ковельская д. 107Б
14,ул. Ковельская д. 107Б/1
14,ул. Ковельская д. 4-93
14,ул. Колхозная
14,ул. Крепостной проезд / остров Госпитальный 9
14,ул. Крепостной проезд / остров Госпитальный 22
14,ул. Крепостной проезд / остров Госпитальный 22а
14,ул. Крепостной проезд / остров Госпитальный 22б
14,ул. Крепостной проезд / остров Госпитальный 281
14,ул. Крепостной проезд / остров Госпитальный 282
14,ул. Крепостной проезд / остров Госпитальный 283
14,Монастырь. ул. Круговая
14,ул. Новая
14,ул. Новая Аркадия
14,ул. Прибужская
14,ул. Средняя д. 3
14,ул. Средняя д. 4
14,ул. Средняя д. 5
14,ул. Средняя д. 6
14,ул. Средняя д. 8
14,ул. Средняя д. 11
14,ул. Средняя д. 11/1
14,ул. Средняя д. 12
14,ул. Средняя д. 13
14,ул. Средняя д. 13/1
14,ул. Средняя д. 17
14,ул. Средняя д. 18/2
14,ул. Средняя д. 28
14,ул. Средняя д. 32
14,ул. Средняя д. 33
14,ул. Средняя д. 34
14,ул. Средняя д. 25/2
14,ул. Средняя д. 37/2
14,ул. Средняя д. 40
14,ул. Узкая д. 1
14,ул. Узкая д. 7
15,ул. Махновича д. 11
15,ул. Махновича д. 13
15,ул. Махновича д. 15
15,ул. Махновича д. 19
15,ул. Махновича д. 21
15,ул. Махновича д. 27
15,ул. Махновича д. 31
15,ул. Махновича д. 3
15,ул. Сальникова д. 20
15,ул. Сальникова д. 22
15,ул. Сальникова д. 24
15,ул. Сальникова д. 26
15,ул. Шоссе Варшавское д. 39
15,ул. Подгородская д. 171
15,ул. Подгородская д. 173
15,ул. Махновича д. 29
15,ул. Махновича д. 35
15,ул. Махновича д. 37
15,ул. Махновича д. 39
16,ул. Грибоедова д. 3
16,ул. Грибоедова д. 5
16,ул. Грибоедова д. 9
16,ул. Грибоедова д. 11
16,ул. Грибоедова д. 15
16,ул. Грибоедова д. 17
16,ул. Грибоедова д. 21
16,ул. Грибоедова д. 25
16,ул. Грибоедова д. 27
16,ул. Грибоедова д. 29
16,ул. Грибоедова д. 33
16,ул. Грибоедова д. 35
16,ул. Грибоедова д. 37
16,Шоссе Варшавское д. 51а
16,Шоссе Варшавское д. 55а
17,ул. Аркадьевская
17,ул. Березовая
17,ул. Благовещенская
17,ул. Ботаническая
17,ул. Весенняя
17,Пер. весенний
17,ул. Влодавская
17,ул. Засима
17,ул. Зеркальная
17,ул. Кирпичная
17,ул. Кленовая
17,ул. Ландышевая
17,ул. Лиловая
17,ул. Лучистая
17,ул. Мележа
17,ул. Мирская
17,ул. Монастырская
17,ул. Народная
17,ул. Нектарная
17,ул. Нестерчука
17,ул. 1-я Новая
17,ул. Петровская
17,ул. Плодовая
17,ул. Пограничная
17,Пер. Пшеничный
17,ул. Розовая
17,ул. Свято-Афанасьевская с д. 1
17,ул. Свято-Афанасьевская с д. 70
17,ул. Свято - Никифоровская
17,Пер. Серебристый
17,Пер. Соловьинный
17,ул. Фортовая д.
17,ул. Холмская
17,ул. Чистопрудная
17,Южный проезд
18,ул. Беговая
18,ул. Березинская
18,ул. Бернадская
18,ул. Вербная
18,ул. Виленская
18,Пер. 1 Виленский
18,Пер. 2 Виленский
18,Пер. 3 Виленский
18,ул. Городнянская
18,Кольцевая
18,Котельня Боярская
18,ул. Купаловская
18,Пер. 1 Купаловский
18,Пер. 2 Купаловский
18,Пер. 3 Купаловский
18,Пер. 4 Купаловский
18,ул. Медновская
18,ул. Митьки
18,Пер. 1 Пограничный
18,Пер. 2 Пограничный
18,Пер. 3 Пограничный
18,Пер. 4 Пограничный
18,ул. Покровская
18,ул. Полесская
18,ул. Пташука
18,ул. Рабочая
18,ул. Ракитная
18,ул. Романовская
18,ул. Свято-Афанасьевская д. 76
18,ул. Свято-Афанасьевская д. 116 
18,Пер. Студенческий
18,ул. Татьянинская
18,ул. Тепличная
18,ул. Тереспольская
18,Пер. Тереспольский
18,Пер. Труда
18,ул. Успенская
