st190333_db7lab3=> SELECT * FROM DE_TAB_InspectionMedicines LIMIT 24;
 id |           de_inspectionid            |            de_medicineid             
----+--------------------------------------+--------------------------------------
  1 | 9d883fd2-8147-4866-8fae-617c64a83742 | 231fec77-b42d-4d6b-99a8-2c17a2808a0c
  2 | 9d883fd2-8147-4866-8fae-617c64a83742 | c64e2daa-190a-48a2-9652-15f5aa05308a
  3 | 9d883fd2-8147-4866-8fae-617c64a83742 | 2c32402a-a207-4f2d-98ad-8e2b731ec4bc
  4 | 9d883fd2-8147-4866-8fae-617c64a83742 | 41daedbb-38f7-4c08-a607-f14bc4ce7a5d
  5 | 152ab2ed-45e1-49ed-8d98-cb76570d007e | ffa3cc88-f44e-4004-961c-ba82721ed25d
  6 | 152ab2ed-45e1-49ed-8d98-cb76570d007e | 53ba33ee-ae09-4768-ad68-2154a5aa7706
  7 | 152ab2ed-45e1-49ed-8d98-cb76570d007e | ea175ae4-f5e8-42a2-8d6b-1641aa7b202b
  8 | fe081860-d9ca-4dc6-b4d2-867086572ec1 | 4164e5c8-0f55-4182-b6eb-cab9b84e1bf9
  9 | fe081860-d9ca-4dc6-b4d2-867086572ec1 | 2882e1e9-6d01-4a1c-a753-54ac144944c4
 10 | af309bb5-b050-462d-9a0b-100a026ecb10 | e58be139-3733-4ffc-ae77-7ca74e00cafe
 11 | af309bb5-b050-462d-9a0b-100a026ecb10 | 37e11134-5a4f-419b-a222-a5284a663ea3
 12 | 2af5656c-982e-4957-9e84-80bd5e272621 | 04db13fd-1208-42b0-8afc-a0abb09af809
 13 | 2af5656c-982e-4957-9e84-80bd5e272621 | 6ccbbca2-c56a-45eb-a329-cff3d23810e4
 14 | 2af5656c-982e-4957-9e84-80bd5e272621 | 8433f316-9a96-4144-abdd-d90ad3896bb8
 15 | 2af5656c-982e-4957-9e84-80bd5e272621 | e56a4f66-3d10-4ddf-ae0b-5efb0cfb2e81
 16 | f58c6956-2f65-4a66-94ed-25b1da63c9a9 | 5d29a669-bef7-4c52-9f07-78f8cd193d3e
 17 | f58c6956-2f65-4a66-94ed-25b1da63c9a9 | 3af2881e-aaf2-479b-ac1b-c0b9ff33ef43
 18 | f58c6956-2f65-4a66-94ed-25b1da63c9a9 | 3a40569b-67df-49e9-ad2f-13c52a013657
 19 | f58c6956-2f65-4a66-94ed-25b1da63c9a9 | 251a62ee-d4e3-4caf-92e7-566e040709bb
 20 | 9da18757-3255-4d3b-ac78-79a0698c7df7 | 4a09a3f5-d362-406f-955b-5b754f47457a
 21 | 9da18757-3255-4d3b-ac78-79a0698c7df7 | 6c6ff468-f8e3-4c16-a062-6cff3218ec2c
 22 | 9da18757-3255-4d3b-ac78-79a0698c7df7 | 1efdf2a3-df97-4f82-bc27-05e263129b2f
 23 | 27695d85-d2f7-4655-abd3-183b3dc6a909 | 41f9e3b1-1cb4-4f05-a113-f5b8fc202748
 24 | 27695d85-d2f7-4655-abd3-183b3dc6a909 | fdc6c917-9062-4f0f-ab10-6a14605392d9
(24 rows)
