st190333_db7lab3=> SELECT * FROM DE_TAB_MedicineSideEffects LIMIT 24;
 id |            de_medicineid             |        de_name        
----+--------------------------------------+-----------------------
  1 | 89d14b4f-548d-4e2b-b614-e7f562b07621 | побочный эффект №1.1
  2 | 69944ed5-94d4-4742-8efe-df452d32ab83 | побочный эффект №2.1
  3 | 69944ed5-94d4-4742-8efe-df452d32ab83 | побочный эффект №2.2
  4 | 9dc6a9ec-0da7-41b4-8f23-12d41d0db9e9 | побочный эффект №3.1
  5 | fa731e84-3e26-4fd3-bdb4-629d70206e2d | побочный эффект №4.1
  6 | fa731e84-3e26-4fd3-bdb4-629d70206e2d | побочный эффект №4.2
  7 | c92d1a8a-e19f-48dd-be15-31e982c81603 | побочный эффект №5.1
  8 | a3388a2f-f82f-4416-99ce-4d4d14badb9f | побочный эффект №6.1
  9 | a3388a2f-f82f-4416-99ce-4d4d14badb9f | побочный эффект №6.2
 10 | a3388a2f-f82f-4416-99ce-4d4d14badb9f | побочный эффект №6.3
 11 | e75f2c65-a665-4561-9d00-1b68849eaccd | побочный эффект №7.1
 12 | e75f2c65-a665-4561-9d00-1b68849eaccd | побочный эффект №7.2
 13 | e75f2c65-a665-4561-9d00-1b68849eaccd | побочный эффект №7.3
 14 | e75f2c65-a665-4561-9d00-1b68849eaccd | побочный эффект №7.4
 15 | e42d6767-47ce-4873-a90b-75fa7e1b99e0 | побочный эффект №8.1
 16 | e42d6767-47ce-4873-a90b-75fa7e1b99e0 | побочный эффект №8.2
 17 | e42d6767-47ce-4873-a90b-75fa7e1b99e0 | побочный эффект №8.3
 18 | e42d6767-47ce-4873-a90b-75fa7e1b99e0 | побочный эффект №8.4
 19 | c9e7cda0-fb76-44b3-ba68-ca7f45cd1627 | побочный эффект №9.1
 20 | c9e7cda0-fb76-44b3-ba68-ca7f45cd1627 | побочный эффект №9.2
 21 | 48b3c957-8ba2-49e3-9430-aaf2bf172fe0 | побочный эффект №10.1
 22 | 48b3c957-8ba2-49e3-9430-aaf2bf172fe0 | побочный эффект №10.2
 23 | 76264a8c-b4ea-4731-a3a9-85fefda6cdb8 | побочный эффект №11.1
 24 | 76264a8c-b4ea-4731-a3a9-85fefda6cdb8 | побочный эффект №11.2
(24 rows)
