 ИдДигнозаНеПоставленогоЗаПериод | НаимДиагНеПоставЗаПериод |                                              ОписДиагНеПоставЗаПериод                                              
---------------------------------+--------------------------+--------------------------------------------------------------------------------------------------------------------
                               1 | A00                      | Холера
                               2 | A00.0                    | Холера, вызванная холерным вибрионом 01, биовар cholerae
                               8 | A01.2                    | Паратиф B
                              11 | A02                      | Другие сальмонеллезные инфекции
                              14 | A02.2                    | Локализованная сальмонеллезная инфекция
                              15 | A02.8                    | Другая уточненная сальмонеллезная инфекция
                              17 | A03                      | Шигеллез
                              18 | A03.0                    | Шигеллез, вызванный Shigella dysenteriae
                              19 | A03.1                    | Шигеллез, вызванный Shigella flexneri
                              20 | A03.2                    | Шигеллез, вызванный Shigella boydii
                              21 | A03.3                    | Шигеллез, вызванный Shigella sonnei
                              24 | A04                      | Другие бактериальные кишечные инфекции
                              25 | A04.0                    | Энтеропатогенная инфекция, вызванная Escherichia coli
                              26 | A04.1                    | Энтеротоксигенная инфекция, вызванная Escherichia coli
                              27 | A04.2                    | Энтероинвазивная инфекция, вызванная Escherichia coli
                              28 | A04.3                    | Энтерогеморрагическая инфекция, вызванная Escherichia coli
                              29 | A04.4                    | Другие кишечные инфекции, вызванные Escherichia coli
                              34 | A04.9                    | Бактериальная кишечная инфекция неуточненная
                              35 | A05                      | Другие бактериальные пищевые отравления
                              36 | A05.0                    | Стафилококковое пищевое отравление
                              38 | A05.2                    | Пищевое отравление, вызванное Clostridium perfringens [Clostridium weichii] 
                              40 | A05.4                    | Пищевое отравление, вызванное Bacillus cereus
                              41 | A05.8                    | Другие уточненные бактериальные пищевые отравления
                              46 | A06.2                    | Амебный недизентерийный колит
                              48 | A06.4                    | Амебный абсцесс печени
                              52 | A06.8                    | Амебная инфекция другой локализации
                              54 | A07                      | Другие протозойные кишечные болезни
                              55 | A07.0                    | Балантидиаз
                              58 | A07.3                    | Изоспороз
                              59 | A07.8                    | Другие уточненные протозойные кишечные болезни
                              61 | A08                      | Вирусные и другие уточненные кишечные инфекции
                              62 | A08.0                    | Ротавирусный энтерит
                              63 | A08.1                    | Острая гастроэнтеропатия, вызванная возбудителем Норволк
                              69 | A09.0                    | Другой и неуточненный гастроэнтерит и колит инфекционного происхождения
                              71 | A15                      | Туберкулез органов дыхания, подтвержденный бактериологически и гистологически
                              72 | A15.0                    | Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры
                              73 | A15.1                    | Туберкулез легких, подтвержденный только ростом культуры
                              74 | A15.2                    | Туберкулез легких, подтвержденный гистологически
                              75 | A15.3                    | Туберкулез легких, подтвержденный неуточненными методами
                              77 | A15.5                    | Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически
                              78 | A15.6                    | Туберкулезный плеврит, подтвержденный бактериологически и гистологически
                              83 | A16.0                    | Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований
                              86 | A16.3                    | Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении
                              88 | A16.5                    | Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении
                              89 | A16.7                    | Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
                              90 | A16.8                    | Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
                              95 | A17.8                    | Туберкулез нервной системы другой локализаций
                              99 | A18.1                    | Туберкулез мочеполовых органов
(48 rows)
