 КолСтудВУниверситете | ИдУниверситета | РейтингУниверситета |                                                             НаименованиеУниверсистета                                                              
----------------------+----------------+---------------------+----------------------------------------------------------------------------------------------------------------------------------------------------
                 1043 |             12 |               13.65 | Белорусский государственный технологический университет - белор. Беларускі дзяржаўны тэхналагічны ўніверсітэт
                 1014 |             24 |               13.65 | Витебская государственная академия ветеринарной медицины - белор. Віцебская дзяржаўная акадэмія ветэрынарнай медыцыны
                 1000 |              6 |                   8 | Белорусская государственная академия авиации- белор. Беларуская дзяржаўная акадэмія авіяцыі
                  996 |             35 |                  14 | Институт пограничной службы Республики Беларусь - белор. Iнстытут пагранічнай службы Рэспублікі Беларусь
                  993 |              8 |                   2 | Белорусская государственная академия музыки- белор. Беларуская дзяржаўная акадэмія музыкі
                  988 |              7 |                   8 | Белорусская государственная академия искусств - белор. Беларуская дзяржаўная акадэмія мастацтваў
                  987 |             15 |                   4 | Белорусский государственный университет культуры и искусств - белор. Беларускі дзяржаўны ўніверсітэт культуры і мастацтваў
                  987 |              3 |                   5 | Барановичский государственный университет - белор. Баранавіцкі дзяржаўны ўніверсітэт
                  984 |             50 |                  15 | Международный университет «МИТСО» - белор. Міжнародны універсітэт «МІПСА»
                  984 |             28 |                  15 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Рэспублікі Беларусь
                  977 |              1 |                   7 | Академия Министерства внутренних дел Республики Беларусь- белор. Акадэмія Міністэрства ўнутраных спраў Рэспублікі Беларусь
                  976 |             46 |                   2 | Институт парламентаризма и предпринимательства - белор. Інстытут парламентарызму і прадпрымальніцтва
                  975 |             23 |                  10 | Брестский государственный университет имени А. С. Пушкина - белор. Брэсцкі дзяржаўны ўніверсітэт імя А. С. Пушкіна
                  975 |             48 |                  12 | Институт современных знаний им. Широкова - белор. Інстытут сучасных ведаў імя А. М. Шырокава
                  974 |              2 |                   9 | Академия управления при Президенте Республики Беларусь - белор. Акадэмія кіравання пры Прэзідэнце Рэспублікі Беларусь
                  970 |             41 |                  12 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ўніверсітэт
                  966 |              4 |                   5 | Белорусская государственная сельскохозяйственная академия - белор. Беларуская дзяржаўная сельскагаспадарчая акадэмія
                  962 |             10 |                   7 | Белорусский государственный медицинский университет - белор. Беларускі дзяржаўны медыцынскі універсітэт
                  962 |              9 |                   8 | Белорусская государственная академия связи - белор. Беларуская дзяржаўная акадэмія сувязі
                  961 |             45 |                  13 | Институт предпринимательской деятельности - белор. Інстытут прадпрымальніцкай дзейнасці
                  961 |             33 |                   6 | Гродненский государственный медицинский университет - белор. Гродзенскі дзяржаўны медыцынскі ўніверсітэт
                  960 |             16 |                   7 | Белорусский государственный университет пищевых и химических технологий белор. Беларускі дзяржаўны ўніверсітэт харчовых і хімічных тэхналогій
                  960 |             25 |                  15 | Витебский государственный ордена Дружбы народов медицинский университет - белор. Віцебскі дзяржаўны ордэна Дружбы народаў медыцынскі ўніверсітэт
                  957 |             43 |                   2 | Белорусский торгово-экономический университет потребительской кооперации - белор. Беларускі гандлёва-эканамічны ўніверсітэт спажывецкай кааперацыі
                  957 |             20 |                  10 | Белорусский национальный технический университет - белор. Беларускі нацыянальны тэхнічны ўніверсітэт
                  956 |             27 |                  17 | Витебский государственный университет имени П. М. Машерова - белор. Віцебскі дзяржаўны ўніверсітэт імя П. М. Машэрава
                  949 |             36 |                   6 | Минский государственный лингвистический университет - белор. Мінскі дзяржаўны лінгвістычны ўніверсітэт
                  948 |             11 |                  14 | Белорусский государственный педагогический университет имени Максима Танка - белор. Беларускі дзяржаўны педагагічны ўніверсітэт імя Максіма Танка
                  945 |             13 |                   2 | Белорусский государственный университет - белор. Беларускі дзяржаўны ўніверсітэт
                  943 |             31 |                   9 | Гомельский государственный университет имени Франциска Скорины - белор. Гомельскі дзяржаўны універсітэт імя Францыска Скарыны
                  941 |             39 |                  13 | Мозырский государственный педагогический университет имени И. П. Шамякина - белор. Мазырскі дзяржаўны педагагічны ўніверсітэт імя І. П. Шамякіна
                  941 |             44 |                   7 | БИП — Университет права и социально-информационных технологий - белор. БІП — Універсітэт права і сацыяльна-інфармацыйных тэхналогій
                  940 |             29 |                  17 | Гомельский государственный медицинский университет - белор. Гомельскі дзяржаўны медыцынскі ўніверсітэт
