+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
|                    1 | Академия Министерства внутренних дел Республики Беларусь- белор....                                                            |                      NULL |                       236 |                       224 |                       246 |                       228 |
|                    2 | Академия управления при Президенте Республики Беларусь - белор. ...                                                            |                      NULL |                       233 |                       217 |                       257 |                       272 |
|                    3 | Барановичский государственный университет - белор. Баранавіцкі д...                                                            |                      NULL |                       229 |                       213 |                       265 |                       217 |
|                    4 | Белорусская государственная сельскохозяйственная академия - бело...                                                            |                      NULL |                       226 |                       227 |                       241 |                       229 |
|                    5 | Белорусский государственный аграрный технический университет - б...                                                            |                      NULL |                       233 |                       230 |                       262 |                       255 |
|                    6 | Белорусская государственная академия авиации- белор. Беларуская ...                                                            |                      NULL |                       229 |                       260 |                       257 |                       230 |
|                    7 | Белорусская государственная академия искусств - белор. Беларуска...                                                            |                      NULL |                       272 |                       221 |                       235 |                       255 |
|                    8 | Белорусская государственная академия музыки- белор. Беларуская д...                                                            |                      NULL |                       249 |                       261 |                       223 |                       224 |
|                    9 | Белорусская государственная академия связи - белор. Беларуская д...                                                            |                      NULL |                       249 |                       225 |                       269 |                       271 |
|                   10 | Белорусский государственный медицинский университет - белор. Бел...                                                            |                      NULL |                       214 |                       240 |                       232 |                       235 |
|                   11 | Белорусский государственный педагогический университет имени Мак...                                                            |                      NULL |                       242 |                       205 |                       251 |                       213 |
|                   12 | Белорусский государственный технологический университет - белор....                                                            |                      NULL |                       226 |                       219 |                       237 |                       224 |
|                   13 | Белорусский государственный университет - белор. Беларускі дзярж...                                                            |                      NULL |                       259 |                       236 |                       242 |                       212 |
|                   14 | Белорусский государственный университет информатики и радиоэлект...                                                            |                      NULL |                       257 |                       240 |                       267 |                       236 |
|                   15 | Белорусский государственный университет культуры и искусств - бе...                                                            |                      NULL |                       228 |                       228 |                       255 |                       240 |
