+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
|                    1 | Академия Министерства внутренних дел Республики Беларусь- белор....                                                            |                       236 |                       224 |                       246 |                       228 |                      NULL |
|                    2 | Академия управления при Президенте Республики Беларусь - белор. ...                                                            |                       233 |                       217 |                       257 |                       272 |                      NULL |
|                    3 | Барановичский государственный университет - белор. Баранавіцкі д...                                                            |                       229 |                       213 |                       265 |                       217 |                      NULL |
|                    4 | Белорусская государственная сельскохозяйственная академия - бело...                                                            |                       226 |                       227 |                       241 |                       229 |                      NULL |
|                    5 | Белорусский государственный аграрный технический университет - б...                                                            |                       233 |                       230 |                       262 |                       255 |                      NULL |
|                    6 | Белорусская государственная академия авиации- белор. Беларуская ...                                                            |                       229 |                       260 |                       257 |                       230 |                      NULL |
|                    7 | Белорусская государственная академия искусств - белор. Беларуска...                                                            |                       272 |                       221 |                       235 |                       255 |                      NULL |
|                    8 | Белорусская государственная академия музыки- белор. Беларуская д...                                                            |                       249 |                       261 |                       223 |                       224 |                      NULL |
|                    9 | Белорусская государственная академия связи - белор. Беларуская д...                                                            |                       249 |                       225 |                       269 |                       271 |                      NULL |
|                   10 | Белорусский государственный медицинский университет - белор. Бел...                                                            |                       214 |                       240 |                       232 |                       235 |                      NULL |
|                   11 | Белорусский государственный педагогический университет имени Мак...                                                            |                       242 |                       205 |                       251 |                       213 |                      NULL |
|                   12 | Белорусский государственный технологический университет - белор....                                                            |                       226 |                       219 |                       237 |                       224 |                      NULL |
|                   13 | Белорусский государственный университет - белор. Беларускі дзярж...                                                            |                       259 |                       236 |                       242 |                       212 |                      NULL |
|                   14 | Белорусский государственный университет информатики и радиоэлект...                                                            |                       257 |                       240 |                       267 |                       236 |                      NULL |
|                   15 | Белорусский государственный университет культуры и искусств - бе...                                                            |                       228 |                       228 |                       255 |                       240 |                      NULL |
|                   16 | Белорусский государственный университет пищевых и химических тех...                                                            |                       235 |                       262 |                       237 |                       271 |                      NULL |
|                   17 | Белорусский государственный университет транспорта - белор. Бела...                                                            |                       263 |                       254 |                       251 |                       211 |                      NULL |
|                   18 | Белорусский государственный университет физической культуры - бе...                                                            |                       219 |                       221 |                       258 |                       228 |                      NULL |
