+----------------------+--------------------------------------------------------------------------------------------------------------------------------+----------------------+----------------+------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | Город                | Рейтинг        | Комментарий            |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+----------------------+----------------+------------------------+
|                    1 | Академия Министерства внутренних дел Республики Беларусь- белор....                                                            | Минск                |             17 | NULL                   |
|                    2 | Академия управления при Президенте Республики Беларусь - белор. ...                                                            | Минск                |             10 | NULL                   |
|                    3 | Барановичский государственный университет - белор. Баранавіцкі д...                                                            | Барановичи           |              6 | NULL                   |
|                    4 | Белорусская государственная сельскохозяйственная академия - бело...                                                            | Горки                |              8 | NULL                   |
|                    5 | Белорусский государственный аграрный технический университет - б...                                                            | Минск                |              6 | NULL                   |
|                    6 | Белорусская государственная академия авиации- белор. Беларуская ...                                                            | Минск                |              4 | NULL                   |
|                    7 | Белорусская государственная академия искусств - белор. Беларуска...                                                            | Минск                |              4 | NULL                   |
|                    8 | Белорусская государственная академия музыки- белор. Беларуская д...                                                            | Минск                |              3 | NULL                   |
|                    9 | Белорусская государственная академия связи - белор. Беларуская д...                                                            | Минск                |              5 | NULL                   |
|                   10 | Белорусский государственный медицинский университет - белор. Бел...                                                            | Минск                |             10 | NULL                   |
|                   11 | Белорусский государственный педагогический университет имени Мак...                                                            | Минск                |             14 | NULL                   |
|                   12 | Белорусский государственный технологический университет - белор....                                                            | Минск                |             15 | NULL                   |
|                   13 | Белорусский государственный университет - белор. Беларускі дзярж...                                                            | Минск                |              7 | NULL                   |
|                   14 | Белорусский государственный университет информатики и радиоэлект...                                                            | Минск                |              5 | NULL                   |
|                   15 | Белорусский государственный университет культуры и искусств - бе...                                                            | Минск                |             17 | NULL                   |
|                   16 | Белорусский государственный университет пищевых и химических тех...                                                            | Могилёв              |             12 | NULL                   |
|                   17 | Белорусский государственный университет транспорта - белор. Бела...                                                            | Гомель               |              3 | NULL                   |
|                   18 | Белорусский государственный университет физической культуры - бе...                                                            | Минск                |             17 | NULL                   |
|                   19 | Белорусский государственный экономический университет - белор. Б...                                                            | Минск                |              5 | NULL                   |
|                   20 | Белорусский национальный технический университет - белор. Белару...                                                            | Минск                |             17 | NULL                   |
|                   21 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўн...                                                            | Могилёв              |             10 | NULL                   |
|                   22 | Брестский государственный технический университет - белор. Брэсц...                                                            | Брест                |              6 | NULL                   |
|                   23 | Брестский государственный университет имени А. С. Пушкина - бело...                                                            | Брест                |              9 | NULL                   |
